time,wind_direction_deg
2024-01-06T18:00,18
2024-01-06T19:00,21
2024-01-06T20:00,18
2024-01-06T21:00,11
2024-01-06T22:00,4
2024-01-06T23:00,4
2024-01-07T00:00,13
2024-01-07T01:00,55
2024-01-07T02:00,65
2024-01-07T03:00,71
2024-01-07T04:00,113
2024-01-07T05:00,161
2024-01-07T06:00,180
2024-01-07T07:00,190
2024-01-07T08:00,199
2024-01-07T09:00,200
2024-01-07T10:00,189
2024-01-07T11:00,187
2024-01-07T12:00,185
2024-01-07T13:00,187
2024-01-07T14:00,193
2024-01-07T15:00,191
2024-01-07T16:00,186
2024-01-07T17:00,180
2024-01-07T18:00,174
2024-01-07T19:00,140
2024-01-07T20:00,18
2024-01-07T21:00,5
2024-01-07T22:00,3
2024-01-07T23:00,6
2024-01-08T00:00,3
2024-01-08T01:00,9
2024-01-08T02:00,22
2024-01-08T03:00,31
2024-01-08T04:00,99
2024-01-08T05:00,156
2024-01-08T06:00,173
2024-01-08T07:00,177
2024-01-08T08:00,191
2024-01-08T09:00,201
2024-01-08T10:00,231
2024-01-08T11:00,360
2024-01-08T12:00,27
2024-01-08T13:00,360
2024-01-08T14:00,360
2024-01-08T15:00,358
2024-01-08T16:00,341
2024-01-08T17:00,341
2024-01-08T18:00,353
2024-01-08T19:00,22
2024-01-08T20:00,29
2024-01-08T21:00,23
2024-01-08T22:00,10
2024-01-08T23:00,20
2024-01-09T00:00,33
2024-01-09T01:00,32
2024-01-09T02:00,30
2024-01-09T03:00,33
2024-01-09T04:00,27
2024-01-09T05:00,34
2024-01-09T06:00,45
2024-01-09T07:00,72
2024-01-09T08:00,103
2024-01-09T09:00,184
2024-01-09T10:00,231
2024-01-09T11:00,221
2024-01-09T12:00,243
2024-01-09T13:00,307
2024-01-09T14:00,2
2024-01-09T15:00,23
2024-01-09T16:00,32
2024-01-09T17:00,43
2024-01-09T18:00,55
2024-01-09T19:00,67
2024-01-09T20:00,32
2024-01-09T21:00,236
2024-01-09T22:00,202
2024-01-09T23:00,233
2024-01-10T00:00,231
2024-01-10T01:00,236
2024-01-10T02:00,186
2024-01-10T03:00,192
2024-01-10T04:00,188
2024-01-10T05:00,186
2024-01-10T06:00,194
2024-01-10T07:00,204
2024-01-10T08:00,210
2024-01-10T09:00,216
2024-01-10T10:00,216
2024-01-10T11:00,225
2024-01-10T12:00,238
2024-01-10T13:00,261
2024-01-10T14:00,325
2024-01-10T15:00,337
2024-01-10T16:00,342
2024-01-10T17:00,329
2024-01-10T18:00,326
2024-01-10T19:00,312
2024-01-10T20:00,305
2024-01-10T21:00,318
2024-01-10T22:00,315
2024-01-10T23:00,16
2024-01-11T00:00,24
2024-01-11T01:00,13
2024-01-11T02:00,5
2024-01-11T03:00,357
2024-01-11T04:00,18
2024-01-11T05:00,344
2024-01-11T06:00,243
2024-01-11T07:00,189
2024-01-11T08:00,207
2024-01-11T09:00,249
2024-01-11T10:00,254
2024-01-11T11:00,229
2024-01-11T12:00,270
2024-01-11T13:00,344
2024-01-11T14:00,360
2024-01-11T15:00,3
2024-01-11T16:00,358
2024-01-11T17:00,6
2024-01-11T18:00,9
2024-01-11T19:00,24
2024-01-11T20:00,24
2024-01-11T21:00,20
2024-01-11T22:00,28
2024-01-11T23:00,15
2024-01-12T00:00,5
2024-01-12T01:00,16
2024-01-12T02:00,45
2024-01-12T03:00,53
2024-01-12T04:00,112
2024-01-12T05:00,127
2024-01-12T06:00,142
2024-01-12T07:00,120
2024-01-12T08:00,108
2024-01-12T09:00,65
2024-01-12T10:00,41
2024-01-12T11:00,3
2024-01-12T12:00,341
2024-01-12T13:00,347
2024-01-12T14:00,355
2024-01-12T15:00,353
2024-01-12T16:00,341
2024-01-12T17:00,5
2024-01-12T18:00,51
2024-01-12T19:00,54
2024-01-12T20:00,51
2024-01-12T21:00,74
2024-01-12T22:00,81
2024-01-12T23:00,27
2024-01-13T00:00,11
2024-01-13T01:00,29
2024-01-13T02:00,43
2024-01-13T03:00,38
2024-01-13T04:00,30
2024-01-13T05:00,32
2024-01-13T06:00,29
2024-01-13T07:00,6
2024-01-13T08:00,350
2024-01-13T09:00,350
2024-01-13T10:00,355
2024-01-13T11:00,352
2024-01-13T12:00,2
2024-01-13T13:00,349
2024-01-13T14:00,350
2024-01-13T15:00,4
2024-01-13T16:00,10
2024-01-13T17:00,5
2024-01-13T18:00,6
2024-01-13T19:00,8
2024-01-13T20:00,12
2024-01-13T21:00,15
2024-01-13T22:00,15
2024-01-13T23:00,17
2024-01-14T00:00,15
2024-01-14T01:00,17
2024-01-14T02:00,12
2024-01-14T03:00,7
2024-01-14T04:00,360
2024-01-14T05:00,356
2024-01-14T06:00,356
2024-01-14T07:00,358
2024-01-14T08:00,17
2024-01-14T09:00,32
2024-01-14T10:00,214
2024-01-14T11:00,207
2024-01-14T12:00,206
2024-01-14T13:00,294
2024-01-14T14:00,318
2024-01-14T15:00,18
2024-01-14T16:00,80
2024-01-14T17:00,78
2024-01-14T18:00,47
2024-01-14T19:00,36
2024-01-14T20:00,27
2024-01-14T21:00,28
2024-01-14T22:00,11
2024-01-14T23:00,356
2024-01-15T00:00,360
2024-01-15T01:00,3
2024-01-15T02:00,5
2024-01-15T03:00,146
2024-01-15T04:00,173
2024-01-15T05:00,171
2024-01-15T06:00,173
2024-01-15T07:00,189
2024-01-15T08:00,202
2024-01-15T09:00,200
2024-01-15T10:00,202
2024-01-15T11:00,197
2024-01-15T12:00,196
2024-01-15T13:00,333
2024-01-15T14:00,360
2024-01-15T15:00,357
2024-01-15T16:00,348
2024-01-15T17:00,349
2024-01-15T18:00,6
2024-01-15T19:00,6
2024-01-15T20:00,10
2024-01-15T21:00,7
2024-01-15T22:00,360
2024-01-15T23:00,360
2024-01-16T00:00,3
2024-01-16T01:00,5
2024-01-16T02:00,17
2024-01-16T03:00,37
2024-01-16T04:00,75
2024-01-16T05:00,135
2024-01-16T06:00,153
2024-01-16T07:00,167
2024-01-16T08:00,173
2024-01-16T09:00,176
2024-01-16T10:00,178
2024-01-16T11:00,188
2024-01-16T12:00,194
2024-01-16T13:00,198
2024-01-16T14:00,193
2024-01-16T15:00,288
2024-01-16T16:00,326
2024-01-16T17:00,340
2024-01-16T18:00,358
2024-01-16T19:00,5
2024-01-16T20:00,6
2024-01-16T21:00,360
2024-01-16T22:00,357
2024-01-16T23:00,360
2024-01-17T00:00,357
2024-01-17T01:00,351
2024-01-17T02:00,357
2024-01-17T03:00,9
2024-01-17T04:00,14
2024-01-17T05:00,7
2024-01-17T06:00,18
2024-01-17T07:00,72
2024-01-17T08:00,189
2024-01-17T09:00,176
2024-01-17T10:00,162
2024-01-17T11:00,135
2024-01-17T12:00,45
2024-01-17T13:00,297
2024-01-17T14:00,321
2024-01-17T15:00,337
2024-01-17T16:00,351
2024-01-17T17:00,357
2024-01-17T18:00,353
2024-01-17T19:00,351
2024-01-17T20:00,349
2024-01-17T21:00,326
2024-01-17T22:00,246
2024-01-17T23:00,180
2024-01-18T00:00,175
2024-01-18T01:00,93
2024-01-18T02:00,120
2024-01-18T03:00,152
2024-01-18T04:00,158
2024-01-18T05:00,166
2024-01-18T06:00,167
2024-01-18T07:00,172
2024-01-18T08:00,168
2024-01-18T09:00,160
2024-01-18T10:00,160
2024-01-18T11:00,170
2024-01-18T12:00,174
2024-01-18T13:00,192
2024-01-18T14:00,201
2024-01-18T15:00,140
2024-01-18T16:00,86
2024-01-18T17:00,88
2024-01-18T18:00,100
2024-01-18T19:00,102
2024-01-18T20:00,76
2024-01-18T21:00,27
2024-01-18T22:00,5
2024-01-18T23:00,41
2024-01-19T00:00,149
2024-01-19T01:00,152
2024-01-19T02:00,141
2024-01-19T03:00,144
2024-01-19T04:00,140
2024-01-19T05:00,135
2024-01-19T06:00,135
2024-01-19T07:00,283
2024-01-19T08:00,300
2024-01-19T09:00,319
2024-01-19T10:00,332
2024-01-19T11:00,339
2024-01-19T12:00,349
2024-01-19T13:00,354
2024-01-19T14:00,291
2024-01-19T15:00,217
2024-01-19T16:00,151
2024-01-19T17:00,115
2024-01-19T18:00,123
2024-01-19T19:00,135
2024-01-19T20:00,144
2024-01-19T21:00,151
2024-01-19T22:00,146
2024-01-19T23:00,163
2024-01-20T00:00,152
2024-01-20T01:00,172
2024-01-20T02:00,163
2024-01-20T03:00,149
2024-01-20T04:00,135
2024-01-20T05:00,252
2024-01-20T06:00,229
2024-01-20T07:00,185
2024-01-20T08:00,176
2024-01-20T09:00,174
2024-01-20T10:00,232
2024-01-20T11:00,231
2024-01-20T12:00,207
2024-01-20T13:00,334
2024-01-20T14:00,331
2024-01-20T15:00,332
2024-01-20T16:00,332
2024-01-20T17:00,338
2024-01-20T18:00,356
2024-01-20T19:00,18
2024-01-20T20:00,24
2024-01-20T21:00,10
2024-01-20T22:00,18
2024-01-20T23:00,28
2024-01-21T00:00,21
2024-01-21T01:00,2
2024-01-21T02:00,356
2024-01-21T03:00,348
2024-01-21T04:00,344
2024-01-21T05:00,340
2024-01-21T06:00,333
2024-01-21T07:00,331
2024-01-21T08:00,329
2024-01-21T09:00,330
2024-01-21T10:00,338
2024-01-21T11:00,349
2024-01-21T12:00,355
2024-01-21T13:00,354
2024-01-21T14:00,356
2024-01-21T15:00,354
2024-01-21T16:00,353
2024-01-21T17:00,350
